мы: нами
долан: доланы
требовать: требуют
аблаево: аблаево
уезд: уездах
телеут: телеуты
мина: мин
век: века
нижнебельский: нижнебельской
сообщить: сообщить
район: район
китапа: китап
доп: доп
каксало: каксал
чараймак: чараймаки
гуить: гуены
кодистория: кодистория
гирей: гирей
участник: участниками
связаться: свяжитесь
лобнорцы: лобнорцы
ёный: еней
карагаша: карагаши
код: код
сельджук: сельджуки
страницецитировать: страницецитировать
проверяться: проверялась
баш: баш
суйка: суйек
алтын: алтын
этнический: этническая этнический этническое
статьяобсуждение: статьяобсуждение
ещё: ещё
вкл: вкл
новокалмашево: новокалмашево
племя: племена племя
белые: белые
тюркют: тюркюты
конырата: коныраты
мусабазари: мусабазари
тюрк: тюрки
викидать: викиданных
юрмить: юрми
алхон: алхоны
мочь: могут
ысык: ысык
проверить: проверенной
русский: русский
буг: бугу
первый: первой
карасакать: карасакал
каратяк: каратяки
черик: черики
калмак: калмак
начальник: начальнику
документ: документ
тюркоязычный: тюркоязычные
утара: утары
байлара: байлар байлары
дыуанай: дыуанай
чат: чаты
деревня: деревень
каршинец: каршинцы
заглавный: заглавная
торткара: торткара
форма: формой
гаоцзевать: гаоцзюй
поведение: поведения
кук: куки
мурзаларец: мурзаларцы
несколько: несколько
вотчина: вотчинами
телеу: телеу
больший: большие
байбакты: байбакты
савира: савиры
состав: состав составе
статистика: статистика
юэчж: юэчжи
дуваня: дуваней
старшина: старшинам
история: история
середина: середине
гэрэ: гэрэ
балыкса: балыксы
дулата: дулаты
айдабол: айдабол
последний: последний
сохраниться: сохранился
вотчинный: вотчинной
текст: текст
ковуя: ковуи
чуб: чуб
запад: западе
юртовый: юртовым
юртовца: юртовцы
монгольский: монгольский монгольского
тазлара: тазлары
заявление: заявление
керей: кереи
берендей: берендеи
мобильный: мобильная
кундуйти: кундушли
править: править
происхождение: происхождение
сынрять: сынрян
сюдасвязанный: сюдасвязанные
опытный: опытными
бур: бура
гайн: гайна
этнос: этносы
ответственность: ответственности
чуюэ: чуюэ
таракт: таракты
кытая: кытаи
буджакский: буджакские
происхождениядагестаноязычный: происхождениядагестаноязычные
чумугунь: чумугунь
ак: ак
кодекс: кодекс
кун: куны
цзе: цзе
ашидэ: ашидэ
кета: кете
тобыкт: тобыкты
инструмент: инструменты
лес: леса
шомекей: шомекей
мавлютовый: мавлютово
динлина: динлины
лишь: лишь
степной: степные
системеобсуждениевкладсоздать: системеобсуждениевкладсоздать
каракалпак: каракалпаки
эфталит: эфталиты
осинский: осинской
байула: байулы
тангаура: тангаур тангауры
шект: шекты
остаться: осталось
узбек: узбеки
кундровца: кундровцы
четверть: четверти
лицензия: лицензии
чагатай: чагатаи
происхожденияскрыть: происхожденияскрытая
кереит: кереиты
пространство: пространства
кубаляк: кубаляки
который: которыми
румынский: румынские
сикый: сикым
страницыслужебный: страницыслужебные
ссылка: ссылки
юрмат: юрматы
сибирский: сибирские сибирской
мурзалар: мурзалар
достигать: достигая
конфиденциальность: конфиденциальности
уар: уары
хазареец: хазарейцы
смотреть: см
буляр: буляр
оразкелди: оразкелди
якут: якуты
исторический: исторические
дизайнполиграфсервис: дизайнполиграфсервис
каршинский: каршинской
сызг: сызгы
алаш: алаша
товарный: товарный
тургак: тургаки
уйгур: уйгуры
зарегистрировать: зарегистрированный
дуванеец: дуванейцы
тесно: тесно
необщепринять: необщепринят
теймурь: теймури
каракеська: каракесек
конец: концу
терсякнуть: терсяк
статьислучайный: статьислучайная
три: трёх
кузей: кузеев
север: севере
доступный: доступен
наука: наука
хунн: хунну
организация: организации
время: времени
узбекский: узбекские
уран: уран
скачать: скачать
кайрылман: кайрылманы
татарин: татары
кумрука: кумрук
случай: случаях
пока: пока
таймани: таймани
проект: проектах
ихсаново: ихсаново
биря: бирь
сохранение: сохранением
текущий: текущая
суйиндык: суйиндык
нагайбак: нагайбаки
описание: описание
участие: участие
алшын: алшыны
ноябрь: ноября
кудея: кудей
кыргыз: кыргызы
карлук: карлуки
маскар: маскар
тёлёс: тёлёсы
старокалмашево: старокалмашево
размежевание: размежевании
кальтатай: кальтатаи
фуюйский: фуюйские
иранский: иранские
теленгит: теленгиты
найман: найманы
шато: шато
спорный: спорно
кайтагец: кайтагцы
канлинский: канлинскими
малый: малые
секея: секеи
десятина: десятину
усунь: усуни
подчиняться: подчинялись
субить: суби
минец: минцы
